,Gene names,BCC Intensity 12_1L,BCC Intensity 12_3L,BCC Intensity 12_5L,BCC Intensity 27_1L,BCC Intensity 27_3L,BCC Intensity 27_5L,BCC Intensity 39_1L,BCC Intensity 39_3L,BCC Intensity 39_5L,BCC Intensity 89_1L,BCC Intensity 89_3L,BCC Intensity 89_5L,BCC Intensity 72_3L,BCC Intensity 103_1L,BCC Intensity 103_3L,BCC Intensity 103_5L,BCC Intensity 107_3L,BCC Intensity 111_3L,BCC Intensity 49_3L,BCC Intensity 105_3L,BCC Intensity 16_3L,BCC Intensity 99_1L,BCC Intensity 99_3L,BCC Intensity 99_5L,BCC Intensity 109_3L,BCC Intensity 73_1L,BCC Intensity 73_3L,BCC Intensity 73_5L,BCC Intensity 92_1L,BCC Intensity 92_3L,BCC Intensity 92_5L,BCC Intensity 54_1L,BCC Intensity 54_3L,BCC Intensity 54_5L,BCC Intensity 104_1L,BCC Intensity 104_3L,BCC Intensity 104_5L,SCC Intensity 21_1L,SCC Intensity 21_3L,SCC Intensity 21_5L,SCC Intensity 31_1L,SCC Intensity 31_3L,SCC Intensity 31_5L,SCC Intensity 32_1L,SCC Intensity 32_3L,SCC Intensity 32_5L,SCC Intensity 90_1L,SCC Intensity 90_3L,SCC Intensity 90_5L,SCC Intensity 59_3L,SCC Intensity 88_3L,SCC Intensity 110_3L,SCC Intensity 45_3L,SCC Intensity 60_3L,SCC Intensity 95_3L,SCC Intensity 101_3L,SCC&BCC Intensity 25_1L,SCC&BCC Intensity 25_3L,SCC&BCC Intensity 25_5L,keratosis Intensity 33_1L,keratosis Intensity 33_3L,keratosis Intensity 33_5L
2139,AHCTF1,21587000,19594000,13877000,17857000,6102400,17163000,5189500,22626000,6572500,2862900,10375000,0,0,0,44727000,0,1985100,4018400,6185900,0,2608100,1181200,7418000,5650000,2308100,11550000,65200000,20236000,37619000,4190500,39964000,14081000,0,12634000,0,0,29881000,0,0,7966600,5910700,6774700,1038700,2265000,0,4213600,0,13365000,0,7846600,0,40769000,0,1191900,0,0,16846000,23989000,11512000,937770,0,0
2140,LZIC,33936000,18475000,47903000,31046000,32038000,0,27967000,23367000,14076000,34981000,71735000,22146000,44482000,50426000,7850900,35376000,24233000,0,6693400,21963000,3146100,5700200,23056000,6519300,11280000,29148000,142390000,11601000,63983000,56124000,65172000,18856000,0,8512800,11797000,23425000,33846000,47191000,80088000,56568000,33360000,53832000,32790000,48015000,59671000,25182000,35564000,23176000,9288500,4317000,0,3516100,1434700,12041000,20450000,0,71506000,98087000,43245000,12881000,45272000,33365000
2141,DOCK2,8462900,5432400,0,0,0,0,1597700,1309400,1346200,1418300,19265000,2808000,0,1229700,82696000,9201600,0,3133200,22039000,3953400,0,2681900,1947400,5598700,12192000,4739700,1754000,3163000,1192800,903210,0,790280,0,0,435910,1409000,3850500,4985500,0,3138800,11219000,594310,9818800,0,904290,4049000,0,22969000,0,7640000,0,1069100,1164900,10522000,0,0,0,33157000,0,5262000,42810000,3364200
2142,ANP32B,1190000000,1780800000,691790000,465630000,334390000,801200000,135150000,209980000,166740000,159260000,648830000,69447000,98712000,30335000,390930000,43666000,100140000,578700000,185130000,380420000,273310000,104360000,572080000,386800000,214940000,431930000,517780000,518980000,160600000,1076000000,742650000,7204000,12828000,102980000,45470000,84739000,26900000,400190000,547850000,318740000,329580000,318200000,185060000,170610000,310650000,105660000,110220000,699660000,67293000,188390000,7761800,887390000,48655000,115270000,168630000,1472900,699530000,926490000,81207000,164030000,409620000,196160000
2143,RABGGTA,322630000,59711000,506640000,59061000,113560000,373900000,147470000,6380600,82616000,145070000,83151000,137890000,73248000,31121000,52671000,27340000,42921000,107030000,24167000,132000000,54833000,59559000,57991000,58076000,58432000,273770000,159100000,296070000,111540000,72858000,94456000,2032600,10105000,6543100,46290000,28276000,33130000,356340000,107210000,228370000,14656000,1883200,1431900,13255000,6028000,18873000,12297000,121260000,22356000,26558000,30591000,25778000,3180100,30636000,13582000,117040000,93136000,224630000,203610000,66327000,91728000,72001000
2144,HDAC2,146130000,293720000,149820000,288410000,57654000,322730000,34488000,64745000,62023000,59000000,184920000,27471000,32140000,10214000,52088000,0,59644000,62176000,14397000,68706000,60216000,26725000,107810000,70522000,45893000,73758000,196110000,194670000,62698000,103490000,103690000,0,8960000,19453000,9981800,40724000,31825000,35037000,13507000,55490000,26812000,52473000,54786000,75266000,31291000,18852000,14782000,59367000,9264400,25806000,0,108090000,1486100,40218000,8835000,0,225540000,268720000,51438000,22888000,57885000,42310000
2145,SYMPK,233760000,30227000,76416000,48475000,24097000,49159000,15796000,20872000,40705000,21868000,181850000,50973000,12363000,22414000,31390000,39660000,35884000,17364000,21288000,29065000,4810300,11972000,53966000,22967000,19793000,50686000,68182000,108910000,34048000,68646000,85482000,23953000,18739000,19358000,30418000,40987000,51431000,13610000,36744000,22409000,12980000,11741000,24838000,47293000,22878000,2903700,31667000,95611000,7029700,4158600,0,4648000,1544800,10800000,36175000,2075600,99728000,120480000,31313000,7886400,35775000,20460000
2146,OSTF1,519530000,700360000,396920000,48242000,14764000,95185000,95906000,83981000,87374000,206410000,120780000,152310000,62326000,139290000,240580000,183280000,49153000,39174000,140680000,131340000,35433000,72440000,109630000,69720000,86417000,215170000,244460000,214350000,238310000,198160000,135170000,59834000,116730000,115060000,50970000,125680000,79765000,276050000,297870000,314160000,245420000,162410000,197620000,150250000,153840000,93552000,126930000,303490000,56530000,36184000,25965000,43218000,34363000,99617000,43345000,4569000,335700000,397650000,211010000,94461000,229150000,131270000
2147,UFD1,149050000,266600000,120970000,49897000,23344000,28345000,0,29879000,29477000,10468000,83562000,13407000,14321000,40563000,13857000,44411000,9287500,22452000,27755000,25309000,16221000,11766000,43102000,18755000,34016000,48738000,131950000,89742000,28539000,90004000,72842000,19237000,11940000,24934000,16002000,39334000,27763000,73329000,41704000,28416000,49653000,45143000,49057000,58073000,31698000,22994000,8073200,89326000,11219000,20946000,2602000,4980400,6826500,19963000,5862600,8559700,73180000,76348000,29108000,20602000,60565000,16064000
2148,ATP6V0A1,226700000,116020000,141270000,4875800,5019800,10444000,7309600,11837000,18470000,13010000,53066000,4523800,5932200,56858000,30582000,27032000,15872000,886560,3702500,5163700,0,16556000,29018000,18134000,4059600,19859000,47709000,49303000,52152000,43971000,39308000,4066200,9422000,17074000,8207500,23690000,26475000,47703000,57568000,77531000,10613000,9029300,9251900,35948000,12366000,12453000,13014000,67390000,12886000,0,2916600,874880,1917300,20555000,1223400,11574000,44650000,34059000,32032000,22734000,21609000,18537000
